cuenta_origen,cuenta_destino,monto,motivo,tipo
ACC001,ACC002,1500,Varios,propia
ACC001,ACC003,2000,Servicios,propia
ACC002,ACC001,500,Prueba,propia
ACC001,ACC002,1500,Varios,propia
ACC001,ACC003,2000,Servicios,propia
ACC002,ACC001,500,Prueba,propia
ACC001,ACC002,1500,Varios,propia
ACC001,ACC003,2000,Servicios,propia
ACC002,ACC001,500,Prueba,propia
ACC001,ACC002,1500,Varios,propia
ACC001,ACC003,2000,Servicios,propia
ACC002,ACC001,500,Prueba,propia
ACC001,ACC002,1500,Varios,propia
ACC001,ACC003,2000,Servicios,propia
ACC002,ACC001,500,Prueba,propia
ACC001,ACC002,1500,Varios,propia
ACC001,ACC003,2000,Servicios,propia
ACC002,ACC001,500,Prueba,propia
ACC001,ACC002,1500,Varios,propia
ACC001,ACC003,2000,Servicios,propia
ACC002,ACC001,500,Prueba,propia
ACC001,ACC002,1500,Varios,propia
ACC001,ACC003,2000,Servicios,propia
ACC002,ACC001,500,Prueba,propia
